Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Fat Lulu’s,Delhi-Ncr,"Galleria Market, Gurgaon",Multicuisine,1500,4.0
Daryaganj Restaurant,Delhi-Ncr,"Connaught Place (CP), Central Delhi",North Indian,1800,4.2
Barbeque Nation,Delhi-Ncr,"Connaught Place (CP), Central Delhi","Multicuisine, Barbeque",2200,4.4
Farmers Basket,Delhi-Ncr,Pullman New Delhi Aerocity-An AccorHotels Brand,Multicuisine,3450,4.5
La Croute,Delhi-Ncr,"Sundar Nagar, South Delhi",Italian,1200,5.0
Kampai,Delhi-Ncr,"DLF Promenade Mall, Vasant Kunj",Japanese,1500,4.5
YouMee,Delhi-Ncr,"New Industrial Town, Faridabad","Chinese, Thai, Asian",1200,4.4
TEO - Lounge & Bar,Delhi-Ncr,"Punjabi Bagh, West Delhi",Multicuisine,1200,4.0
Spring,Delhi-Ncr,"Radisson Blu Hotel, Dwarka",Indian,1800,4.2
Pling Bar,Delhi-Ncr,Pullman New Delhi Aerocity-An AccorHotels Brand,"Finger Food, Cocktail Menu",3450,4.7
Nehru Place Social,Delhi-Ncr,"Epicuria Mall, Nehru Place","Cocktail Menu, Multicuisine",1300,4.7
Ikk Panjab,Delhi-Ncr,"Connaught Place (CP), Central Delhi","North Indian, Punjabi",2500,4.9
Spectra,Delhi-Ncr,"The Leela Ambience, Gurgaon",Multicuisine,3450,4.4
Flurys,Delhi-Ncr,"The Park, New Delhi","Confectionery, Bakery",700,4.0
Duty Free Flaunt,Delhi-Ncr,"Vegas Mall, Dwarka","Cocktail Menu, Multicuisine",1500,3.4
Pasta Street,Delhi-Ncr,"Punjabi Bagh, West Delhi",Multicuisine,1800,4.6
Rhaas,Delhi-Ncr,"Karol Bagh, Central Delhi",Multicuisine,800,4.0
ASUR,Delhi-Ncr,"Karampura, West Delhi",Multicuisine,1800,3.7
Food Exchange,Delhi-Ncr,"Novotel City Centre, Delhi NCR",Multicuisine,3000,5.0
Viva,Delhi-Ncr,Holiday Inn New Delhi International Airport,Multicuisine,2000,4.3
Miss Nora,Delhi-Ncr,"Rajouri Garden, West Delhi",Pan Asian,1500,4.5
Smoke House Deli,Delhi-Ncr,"DLF Promenade Mall, Vasant Kunj",European,1950,4.4
Chapter Twelve,Delhi-Ncr,"Sector 12, Faridabad","Cocktail Menu, Multicuisine",1500,4.4
Sanadige at Malcha - Fine Dine Restaurant,Delhi-Ncr,"Chanakyapuri, Central Delhi","Cocktail Menu, Multicuisine",2000,4.4
Bella Vino,Delhi-Ncr,"AIPL Joy Central, Sector 65, Gurgaon",Multicuisine,1200,2.7
Orange Room By Habbit,Delhi-Ncr,"Vasant Vihar, South Delhi",Multicuisine,1500,4.3
Vapour Bar Exchange,Delhi-Ncr,"Sohna Road, Gurgaon","Cocktail Menu, Multicuisine",1600,4.4
Green Mantis,Delhi-Ncr,"Khan Market, Central Delhi",Pan Asian,2500,4.5
BiziBean,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Cafe,500,3.0
Asia Alive,Delhi-Ncr,"DoubleTree by Hilton, Gurgaon",Multicuisine,2300,4.4
Breath - Fine Lounge & Bar,Delhi-Ncr,"Punjabi Bagh, West Delhi",Multicuisine,1500,5.0
Whisky Samba,Delhi-Ncr,"Two Horizon Center, Golf Course Road",Multicuisine,2500,4.4
Balloch,Delhi-Ncr,"Sector 49, Noida",Indian,1500,4.1
Mandarin Trail,Delhi-Ncr,"The Great India Place Mall, Noida","Chinese, Thai, North Indian",1600,4.4
Cafe G,Delhi-Ncr,"Crowne Plaza, Gurgaon",Multicuisine,2300,4.5
Kala Swasti Artisanal Indian Culinary,Delhi-Ncr,"Janpath, Connaught Place (CP), Central Delhi",Indian,1800,4.0
VietNom,Delhi-Ncr,"Cyber Hub, Gurgaon","Pan Asian, Vietnamese",2000,4.6
The Ancient Barbeque & Bar,Delhi-Ncr,"Sector 63, Noida","Indian, Barbeque",1300,4.5
Paul,Delhi-Ncr,"Ambience Mall, Gurgaon","French, Bakery",1500,4.4
Nowhere Terrace Brewpub Cafe,Delhi-Ncr,"Cross Point Mall, Gurgaon",Multicuisine,2800,4.4
Kogai Japanese Dining,Delhi-Ncr,"Global Foyer Mall, Gurgaon","Japanese, Sushi",1400,4.3
Glaza Bar & Beyond,Delhi-Ncr,"M3m 65th Avenue, Sector 65, Gurgaon",Multicuisine,1600,4.4
BrewHouse,Delhi-Ncr,"Radisson Blu Kaushambi Delhi NCR, Ghaziabad",Multicuisine,2000,4.2
DKK,Delhi-Ncr,"The Grand, New Delhi","Multicuisine, Modern Indian",3200,4.2
NewYork Street,Delhi-Ncr,"Sector 29, Gurgaon",Multicuisine,2000,4.0
The Qube,Delhi-Ncr,"The Leela Palace, New Delhi",Multicuisine,3200,4.5
Out Of The Box,Delhi-Ncr,"Khan Market, Central Delhi",Multicuisine,1500,4.3
Bheemeshwara - A South Indian Delicacy,Delhi-Ncr,"Connaught Place (CP), Central Delhi",South Indian,1000,4.6
Xero Degrees,Delhi-Ncr,"Karol Bagh, Central Delhi",Multicuisine,800,4.8
Melt House,Delhi-Ncr,"Greater Kailash (GK) 2, South Delhi",Cafe,1400,4.5
Yes Minister,Delhi-Ncr,"Aurobindo Marg, South Delhi",Multicuisine,900,4.5
Pulp The Delicacy,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Multicuisine,1200,3.0
Padmanabham,Delhi-Ncr,"Rajendra Place, Central Delhi","Chinese, North Indian, South Indian",600,3.0
Elan,Delhi-Ncr,"The Lodhi, New Delhi",Casual Eclectic,3000,4.6
Savannah Bar,Delhi-Ncr,"Radisson Blu Plaza Delhi Airport, Mahipalpur","Multicuisine, Cocktail Menu",2000,4.6
Filmy Bar & Cafe,Delhi-Ncr,"Paharganj, Central Delhi",Multicuisine,1200,2.8
KOKKINOS,Delhi-Ncr,"Ramada Gurgaon Central, Gurgaon",Multicuisine,2000,4.7
Soy X Neung Roi,Delhi-Ncr,"Radisson Blu Plaza Delhi Airport, Mahipalpur",Pan Asian,3000,4.6
Sultan,Delhi-Ncr,"Radisson Blu Kaushambi Delhi NCR, Ghaziabad","Cocktail Menu, Multicuisine",3450,4.4
The Barbeque Times,Delhi-Ncr,"Sector 51, Gurgaon",Multicuisine,1800,4.2
Ivoryy Fusion Bar,Delhi-Ncr,"Connaught Place (CP), Central Delhi",Pan Asian,2000,4.0
Cling,Delhi-Ncr,"GTB Nagar, North Delhi",Multicuisine,1500,4.0
On Kourse All Day Dining,Delhi-Ncr,"Karma Lakelands, Manesar",Multicuisine,1000,4.5
Bobachee by Chef Yuvraj Kohli,Delhi-Ncr,"South Extension 2, South Delhi",Multicuisine,1800,4.2
COCCO N CURRY,Delhi-Ncr,"Sapphire 90 Mall, Sector 90, Gurgaon",Multicuisine,1000,5.0
Sly Granny,Delhi-Ncr,"Khan Market, Central Delhi","European, Cocktail Menu",2000,4.5
Zoca Cafe,Delhi-Ncr,"Sector 37, Gurgaon","Indian, Italian",1000,4.3
Gallery Cafe,Delhi-Ncr,"Hyatt Place, Gurgaon",Multicuisine,1500,4.2
Desi Firangi by Clay Inn Hotel,Delhi-Ncr,"Sector 49, Gurgaon",Multicuisine,1200,4.6
Cascades,Delhi-Ncr,"The Grand, New Delhi",Multicuisine,2000,4.4
Barista Coffee,Delhi-Ncr,"Regal Building, Central Delhi",Multicuisine,600,3.5
Indyaki,Delhi-Ncr,"Radisson Blu, Paschim Vihar",North Indian,3450,4.8
Cafe Knosh,Delhi-Ncr,"The Leela Ambience Convention Hotel, New Delhi",Multicuisine,2000,4.3
64/6,Delhi-Ncr,"Country Inn & Suites by Radisson, Ghaziabad",Multicuisine,3450,4.7
7 Barrel Brew Pub,Delhi-Ncr,"DT Mega Mall, Golf Course Road","Cocktail Menu, Multicuisine",1600,4.4
Brewocrat - Brewery Skybar & Kitchen,Delhi-Ncr,"South City 2, Gurgaon","Cocktail Menu, Multicuisine",2000,4.5
Anardana,Delhi-Ncr,Dlf Avenue Saket,"Chinese, North Indian, Continental",1800,4.5
Verandah Moonshine,Delhi-Ncr,"Punjabi Bagh, West Delhi",North Indian,1500,3.8
The Spice Route,Delhi-Ncr,"The Imperial New Delhi, Lobby Level Janpath Road, New Delhi",Asian,3450,4.7
Uncultured Cafe & Bar,Delhi-Ncr,"Kailash Colony, South Delhi",Multicuisine,1500,4.2
