Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Grappa,delhi-ncr,Shangri-La Eros New Delhi,Finger Food,₹3000 for two,4.3
Caffé Tonino,delhi-ncr,"Connaught Place (CP), Central Delhi",Italian,₹1000 for two,4.5
Chili's,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹1500 for two,4.3
Cafe NH8,delhi-ncr,Radisson Gurugram Udyog Vihar,Italian,₹1600 for two,4.4
Mount Fuji,delhi-ncr,"Connaught Place (CP), Central Delhi",Asian,₹1500 for two,4.7
The Flavor Factory,delhi-ncr,"Connaught Place (CP), Central Delhi",South Indian,₹800 for two,4.2
Atrium Deli,delhi-ncr,"Ramada Gurgaon Central, Gurgaon",Multicuisine,₹1600 for two,3.9
Cedar Clubhouse,delhi-ncr,"Janpath, Central Delhi","Cocktail Menu, Multicuisine",₹1800 for two,3.6
Belisario,delhi-ncr,"Janpath, Central Delhi","European, Asian",₹3000 for two,4.5
Le Petit Cafe,delhi-ncr,"The Lalit, New Delhi","Vegan, Continental",₹2500 for two,4.0
Cafe Delhi Heights,delhi-ncr,"Janpath, Connaught Place (CP), Central Delhi",Multicuisine,₹1500 for two,4.4
Taste of China,delhi-ncr,"Connaught Place (CP), Central Delhi",Chinese,₹1100 for two,4.2
XO & Mi @ Le Belvedere,delhi-ncr,"Le Meridien, New Delhi",Pan Asian,₹4000 for two,4.4
The Connaught Bar,delhi-ncr,"Radisson Blu Marina, New Delhi","Cocktail Menu, Finger Food",₹1800 for two,4.3
Mustard Madras,delhi-ncr,"Cyber Hub, Gurgaon",South Indian,₹1500 for two,4.5
Kitchen District - Hyatt Regency Gurgaon,delhi-ncr,"Hyatt Regency, Gurgaon",Multicuisine,₹2400 for two,4.2
Liv Bar,delhi-ncr,Worldmark 1,"Cocktail Menu, Multicuisine",₹1400 for two,4.5
Citrus Cafe,delhi-ncr,"Sandal Suites, Noida",Multicuisine,₹1200 for two,4.1
Pure Shudh,delhi-ncr,"Karol Bagh, Central Delhi","Chinese, Indian",₹500 for two,4.0
Themis Barbecue House,delhi-ncr,"Ambience Mall, Gurgaon",Multicuisine,₹1200 for two,3.9
Roma,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹3000 for two,4.0
Coco Café By Cococart,delhi-ncr,"DLF Mall of India, Sector 18, Noida",Cafe,₹800 for two,3.2
Honk,delhi-ncr,Pullman New Delhi Aerocity-An AccorHotels Brand,"Pan Asian, Japanese",₹6000 for two,4.4
Castle's Barbeque,delhi-ncr,"Connaught Place (CP), Central Delhi","Multicuisine, Barbeque",₹2000 for two,3.7
The Dineroom,delhi-ncr,"Punjabi Bagh, West Delhi",Multicuisine,₹1200 for two,4.2
Shift Coffee And Cocktail,delhi-ncr,"The Boulevard At Magnum Global Park, Sector 58, Gurgaon","European, Coffee",₹1200 for two,5.0
Dosa Coffee,delhi-ncr,"Connaught Place (CP), Central Delhi","Beverages, South Indian",₹500 for two,5.0
Sizzling Shack 24 Hrs Bistro & Bar,delhi-ncr,"Park Inn by Radisson, Lajpat Nagar 4",Multicuisine,₹2000 for two,4.2
Social Affaire,delhi-ncr,"Karol Bagh, Central Delhi",Multicuisine,₹1200 for two,3.0
House of Migo,delhi-ncr,"Sector 143, Noida","Italian, Multicuisine",₹2000 for two,4.7
Zambar,delhi-ncr,"Ambience Mall, Gurgaon",South Indian,₹1500 for two,4.5
Cafe Di Milano,delhi-ncr,"Sector 13, Dwarka, West Delhi",Multicuisine,₹700 for two,4.4
