Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Cameo Bar,chennai,"Hotel Ashok Residency, Chennai",Finger Food,₹800 for two,2.0
EQUINOX,chennai,Regenta Central RS Chennai,"Finger Food, Cocktail Menu",₹1800 for two,1.0
Oh My Shawarma,chennai,"Velachery, Chennai",Fast Food,₹350 for two,1.0
Abid's,chennai,"Chetpet, Chennai",Multicuisine,₹800 for two,4.4
Citrus Cafe,pune,"Lemon Tree Premier, City Center, Pune",Multicuisine,₹1600 for two,4.6
Mazdana,pune,"Camp Area, Pune",Multicuisine,₹1000 for two,4.5
Feast,pune,"Sheraton Grand Pune Bund Garden Hotel, Pune",Multicuisine,₹3000 for two,4.6
Acai,pune,"Dhole Patil Road, Pune",Multicuisine,₹1500 for two,4.3
Chingari,pune,"Sheraton Grand Pune Bund Garden Hotel, Pune",North Indian,₹2500 for two,4.3
The Game Palacio,pune,"Dhole Patil Road, Pune",Multicuisine,₹1500 for two,4.9
Evviva,pune,"Crowne Plaza Pune City Centre, Pune","Finger Food, Cocktail Menu",₹2500 for two,3.9
Mosaic,pune,"Crowne Plaza Pune City Centre, Pune","Multicuisine, All Day Dining",₹1500 for two,4.2
Bira 91 Taproom,pune,"Sangamvadi, Pune",Multicuisine,₹3000 for two,4.0
Mahesh Lunch Home,pune,"Camp Area, Pune",Seafood,₹1400 for two,4.4
Kukoo,pune,"Sangamvadi, Pune",Multicuisine,₹1800 for two,5.0
Nawab Asia,pune,"Bund Garden Road, Pune",North Indian,₹1500 for two,5.0
Kiki,pune,"The Mills, Bund Garden Road, Pune",Multicuisine,₹1500 for two,5.0
Millers - The Luxury Club,pune,"Bund Garden Road, Pune",Multicuisine,₹1800 for two,4.8
Ba Da Bom,pune,"Sangamvadi, Pune",Korean,₹1500 for two,4.5
Slounge,pune,Lemon Tree Premier Pune,"North Indian, Finger Food",₹1500 for two,4.0
Grandmama's Cafe,pune,"Koregaon Park, Pune","Cafe, Multicuisine",₹1600 for two,4.4
Mirage,pune,"Sangamvadi, Pune",Pan Asian,₹2000 for two,4.0
Epitome,pune,"The Mills, Bund Garden Road, Pune",Multicuisine,₹1800 for two,2.4
Sante Spa Cuisine,pune,"1st Lane, Koregaon Park, Pune","Healthy Food, Vegan",₹1000 for two,4.6
KMCY,pune,"Raja Bahadur Mill Road, Pune","Sichuan, Chinese",₹2500 for two,4.0
Malaka Spice,pune,"Koregaon Park, Pune","Pan Asian, oriental",₹1600 for two,4.5
The Sassy Spoon,pune,"Koregaon Park, Pune",Multicuisine,₹1800 for two,4.5
"Hippie @ Heart, Mills",pune,"Sangamvadi, Pune",Multicuisine,₹1000 for two,4.0
The lobby @Sheraton,pune,"Sheraton Grand Pune Bund Garden Hotel, Pune",Bakery,₹700 for two,4.6
Maratha Samrat,pune,"Camp Area, Pune","Seafood, Maharashtrian, Biryani",₹1200 for two,2.0
Shisha Jazz Cafe,pune,"Sangamvadi, Pune",Multicuisine,₹1500 for two,4.0
Shahji's Paratha House,pune,"Dhole Patil Road, Pune",North Indian,₹800 for two,4.0
IHOP Restaurant,pune,"Senapati Bapat Road, Pune",American,₹1500 for two,4.6
Jubilee,pune,"Koregaon Park, Pune","Desserts, Cafe",₹1000 for two,4.0
German Bakery,pune,"Koregaon Park, Pune",Cafe,₹600 for two,4.7
Surve's Pure Non Veg (Camp),pune,"Camp Area, Pune",Multicuisine,₹700 for two,4.0
Coriander Kitchen,pune,"Conrad Pune, Pune",Multicuisine,₹3400 for two,4.5
Tim Luck Luck,pune,"East Street, Pune","Chinese, North Indian, Cocktail Menu",₹1000 for two,4.1
Zanzibar,pune,The Central Park Hotel,"Cocktail Menu, Multicuisine",₹1100 for two,4.8
Hotel Madhav Pure Veg,pune,"Sangamvadi, Pune","North Indian, Chinese",₹1000 for two,5.0
Ebony,pune,"St Laurn Business Hotel, Pune",Multicuisine,₹1400 for two,3.7
Time After Time,pune,The Central Park Hotel,"Multicuisine, European",₹1400 for two,3.5
Kiosk kaffee,pune,"SGS Mall, Camp Area",Coffee,₹300 for two,4.0
Agent Jack's,pune,"Senapati Bapat Road, Pune",Multicuisine,₹1800 for two,3.7
Kuai Kitchen,pune,"Koregaon Park, Pune",Pan Asian,₹1600 for two,5.0
QORA - Cocktail Bar & Kitchen,pune,"Koregaon Park, Pune",Asian,₹1500 for two,4.1
SMOOR,pune,"Koregaon Park, Pune",European,₹600 for two,4.4
The Daark Horse,pune,"Koregaon Park, Pune",Multicuisine,₹1200 for two,2.7
Asia Kitchen By Mainland China,pune,"Dhole Patil Road, Pune",Chinese,₹1600 for two,4.6
The Rooftop Project,pune,"MG Road, Pune",Multicuisine,₹1400 for two,3.9
Publiq,pune,"Koregaon Park, Pune",Multicuisine,₹1400 for two,4.2
INOX,pune,"Bund Garden Road, Pune",Fast Food,₹500 for two,1.0
11 East Street Cafe,pune,"East Street, Pune",Multicuisine,₹1800 for two,4.2
Thikana,pune,"Wakad, Pune","oriental, North Indian, Finger Food",₹1300 for two,4.4
Pune 14,pune,Hyatt Regency Pune,Multicuisine,₹2500 for two,4.4
Big Little Brew Pub,pune,"Kharadi, Pune",Multicuisine,₹1800 for two,4.6
Punjab Exotica,pune,"Amanora Mall, Hadapsar",Multicuisine,₹1300 for two,4.3
Indimex,pune,"Magarpatta, Pune",Multicuisine,₹1500 for two,3.0
Koji,pune,"Conrad Pune, Pune",Pan Asian,₹4000 for two,4.7
Intactu,pune,"Hinjawadi, Pune",Multicuisine,₹1300 for two,3.7
Local Gastro Bar,pune,"Koregaon Park, Pune",Multicuisine,₹1500 for two,3.7
Chafa Cafe,pune,"Koregaon Park, Pune",Healthy Food,₹600 for two,4.4
Kabana,pune,"Conrad Pune, Pune","Cafe, European",₹3000 for two,4.6
Puran Da Dhaba,pune,"The Pride Hotel, Pune",North Indian,₹1500 for two,3.9
GILT Club,pune,"Kharadi, Pune",Multicuisine,₹1200 for two,2.4
Thyme & Whisk,pune,"Koregaon Park, Pune",Multicuisine,₹1000 for two,4.3
Hidden Place- The Hangout,pune,"Koregaon Park, Pune",Multicuisine,₹1300 for two,4.3
Hyde Sky Kitchen & Bar,pune,"Wakad, Pune",Multicuisine,₹1200 for two,4.1
Dadu’s Sweet Emporio,pune,"Camp Area, Pune",Bakery,₹500 for two,4.0
Savya Rasa,pune,"Koregaon Park, Pune",South Indian,₹1000 for two,4.5
Tiger Naan,pune,"Koregaon Park, Pune","Japanese, Modern Indian",₹1500 for two,4.0
Pimlico,pune,"Koregaon Park, Pune",Multicuisine,₹1500 for two,3.8
Yolo Gastro Lounge,pune,"Spot 18 Mall, Pimple Saudagar",Multicuisine,₹1800 for two,3.5
Prem's,pune,"Koregaon Park, Pune",Multicuisine,₹1600 for two,4.8
Little Italy,pune,"Bund Garden Road, Pune","Italian, Mexican",₹1200 for two,4.5
Al Di La,pune,"Conrad Pune, Pune",Italian,₹5200 for two,4.4
one8 Commune,pune,"Koregaon Park, Pune",Multicuisine,₹1500 for two,4.4
Dhaba Shaba Veg Bistro,pune,"Koregaon Park, Pune",North Indian,₹700 for two,4.4
The Cult - Terra,pune,"Magarpatta, Pune",Multicuisine,₹1700 for two,4.0
Mister Merchant's,pune,"Kalyani Nagar, Pune",Multicuisine,₹2000 for two,4.5
Kini,pune,"Koregaon Park, Pune",Korean,₹800 for two,4.0
Ruhmani,pune,Hilton Garden Inn Pune Hinjawadi,"Indian, Mughlai",₹3000 for two,3.9
Casa Blanca,pune,"The Pride Hotel, Pune",Multicuisine,₹1150 for two,3.7
Aahar Udipi's,pune,"Sangamvadi, Pune",South Indian,₹1000 for two,4.7
Addah,pune,The O Hotel Pune,North Indian,₹2500 for two,4.2
Boho Boho,pune,"Koregaon Park, Pune",Multicuisine,₹900 for two,5.0
Seven Ace Kitchen & Bar,pune,"Viman Nagar, Pune",Multicuisine,₹1400 for two,4.0
Upper Deck Lounge,pune,"NIBM Road, Pune",Multicuisine,₹1400 for two,5.0
Shizusan,pune,"Viman Nagar, Pune",Pan Asian,₹1600 for two,4.3
Pasco Kitchen & Bar,pune,"Pimple Saudagar, Pune",Multicuisine,₹1500 for two,3.9
The Camden Lane,pune,"Koregaon Park, Pune",Multicuisine,₹1200 for two,4.3
NUSARA,pune,"Ramee Grand, Pune",Pan Asian,₹1400 for two,4.7
The 7a Restaurant and Bar,pune,"Kharadi, Pune","Cocktail Menu, Multicuisine",₹1000 for two,5.0
Dhaba - Estd 1986 Delhi,pune,"The Pavillion, Senapati Bapat Road",North Indian,₹1200 for two,4.4
Pune Sugar Box,pune,"Conrad Pune, Pune","Desserts, Bakery",₹1200 for two,5.0
3 Musketeers,pune,"Hinjawadi, Pune","Cocktail Menu, Multicuisine",₹1700 for two,4.3
XIA,pune,Hilton Garden Inn Pune Hinjawadi,Pan Asian,₹2100 for two,4.4
2 Kitchens & Bar,pune,"NIBM Road, Pune",Multicuisine,₹1200 for two,4.0
Tutto Bene- Health Café by Little Italy,pune,"Bund Garden Road, Pune","Italian, Continental",₹1200 for two,5.0
The Square,pune,Novotel Pune Nagar Road,Multicuisine,₹2500 for two,4.2
Cafe Rova,pune,"Kharadi, Pune",Multicuisine,₹600 for two,4.4
Punjab Grill,pune,"Viman Nagar, Pune",North Indian,₹2000 for two,4.3
Harajuku,pune,The O Hotel Pune,"Chinese, Japanese",₹4500 for two,4.2
OxyNN,pune,"Hinjawadi, Pune",Multicuisine,₹1100 for two,4.0
Valour Kitchen & Bar,pune,"Kharadi, Pune",Multicuisine,₹1200 for two,1.0
Caffe Allora,pune,"Phoenix Mall of the Millennium, Wakad",Italian,₹900 for two,4.8
Toscano,pune,"Koregaon Park, Pune",Italian,₹1800 for two,4.5
You Mee,pune,"Phoenix Mall of the Millennium, Wakad",Pan Asian,₹1600 for two,3.9
Gola Sizzlers,pune,"Viman Nagar, Pune",Multicuisine,₹2000 for two,4.6
Le Stone,pune,"Ravet, Pune","Chinese, North Indian",₹1500 for two,4.6
Atmosphere 6,pune,"Viman Nagar, Pune",Multicuisine,₹2000 for two,4.4
Cafe Blu,pune,Radisson Blu Pune Hinjewadi,Multicuisine,₹1500 for two,4.3
Yakii,pune,"Baner, Pune","Multicuisine, Japanese",₹1500 for two,4.0
Dario's,pune,"Koregaon Park, Pune",Italian,₹1500 for two,4.0
Tales & Spirits,pune,"Balewadi, Pune",European,₹1500 for two,4.4
Masala Times,pune,"Camp Area, Pune",Multicuisine,₹1000 for two,4.5
Saanjh - An Evening Full Of Flavours,pune,"Viman Nagar, Pune",Multicuisine,₹1000 for two,4.8
BNTR,pune,"Koregaon Park, Pune","Cocktail Menu, Multicuisine",₹1400 for two,4.0
The Time Table At Ventive,pune,"Koregaon Park, Pune","Healthy Food, Continental",₹1000 for two,4.0
Ten Cafe,pune,"The Fern Residency, MIDC, Pune",Multicuisine,₹1400 for two,4.4
Chaurahe Ke Paar,pune,"Koregaon Park, Pune",Multicuisine,₹1500 for two,3.9
Zeera,pune,"Conrad Pune, Pune",Indian,₹4000 for two,4.6
The Chocolate House Cafe,pune,"Viman Nagar, Pune","Desserts, Beverages, Continental",₹800 for two,4.0
Fountain House,pune,"E-Square The Fern An Ecotel Hotel, Pune",Multicuisine,₹1700 for two,3.9
Socio - Kitchen & Bar,pune,"Baner, Pune",Multicuisine,₹1300 for two,4.0
Wow! Momo,pune,"Camp Area, Pune",Momos,₹400 for two,4.0
Texas Tower,pune,"Kharadi, Pune",Multicuisine,₹1500 for two,4.4
Circuit House,pune,"Baner, Pune",Multicuisine,₹2000 for two,4.6
Delhi Grills,pune,"Koregaon Park, Pune","North Indian, Mughlai",₹600 for two,5.0
The Sea Secret,pune,"NIBM Road, Pune",Seafood,₹1800 for two,4.5
Carmine,pune,Radisson Blu Hotel Pune Kharadi,Multicuisine,₹1200 for two,4.2
Senses,pune,Marriott Suites Pune,Multicuisine,₹3500 for two,4.6
Atithi Veg,pune,"Lulla Nagar, Pune",Multicuisine,₹1000 for two,5.0
Cafe 15A,pune,"St Laurn Business Hotel, Pune","Multicuisine, All Day Dining",₹1500 for two,4.2
Flow Cocktails & Cuisine,pune,"Baner, Pune",Multicuisine,₹1200 for two,4.0
L7 - Luxury Club & Kitchen,pune,"Koregaon Park, Pune",Multicuisine,₹1400 for two,4.2
La Magia,pune,SUNDERBAN RESORT & SPA,Italian,₹2000 for two,4.3
Classico Kitchen And Bar,pune,"Erandwane, Pune",Multicuisine,₹1200 for two,4.2
YouMee,pune,"Viman Nagar, Pune",Pan Asian,₹900 for two,4.5
Chufang Asian Kitchen & Bar,pune,"Viman Nagar, Pune",Multicuisine,₹1400 for two,5.0
Teritree,pune,"Hadapsar, Pune",Multicuisine,₹1500 for two,4.4
Shabree Thali Restaurant,pune,"Hotel Parichay, Pune",Maharashtrian,₹800 for two,5.0
Cibbo All Day Dining & Bar,pune,"Shivaji Nagar, Pune",Continental,₹1400 for two,4.0
Immortals Lounge,pune,"Kharadi, Pune",Multicuisine,₹2000 for two,4.0
Mood Drums,pune,"Hinjawadi, Pune",Multicuisine,₹1000 for two,2.3
Yakii,pune,"Deccan Gymkhana, Pune",Asian,₹1200 for two,3.0
Budget Room By Unicorn House,pune,"Kalyani Nagar, Pune",Multicuisine,₹1000 for two,3.8
Santorini,pune,Hilton Garden Inn Pune Hinjawadi,"Mediterranean, Continental",₹2400 for two,4.0
Gelato Italiano,pune,"Raja Bahadur Mill Road, Pune",Ice Cream,₹300 for two,4.0
The Walnut Tree,pune,"Koregaon Park, Pune","Bakery, Cafe",₹800 for two,4.0
MoMo Cafe,pune,"Courtyard by Marriott, Hinjewadi",All Day Dining,₹3000 for two,4.2
Barbeque Nation,pune,"Amanora Mall, Hadapsar","Multicuisine, Barbeque",₹2100 for two,4.6
River Deck Cafe By Prana Resorts,pune,"Ravet, Pune",Continental,₹2000 for two,4.0
Rustic Sand,pune,"Hotel Rajmudra, Pune",Multicuisine,₹1500 for two,5.0
Tantrumss The Luxury Club & Kitchen,pune,"Pimpri-Chinchwad, Pune",Multicuisine,₹1200 for two,1.0
Skylit Club And Lounge,pune,"Kharadi, Pune","Italian, North Indian",₹2000 for two,4.0
Sankalp Restaurant,pune,"Kalyani Nagar, Pune",South Indian,₹1200 for two,4.2
Crafted,pune,Hilton Garden Inn Pune Hinjawadi,Multicuisine,₹1500 for two,4.0
Oceanic,pune,"Kalyani Nagar, Pune",Multicuisine,₹1100 for two,3.7
Masu,pune,"Conrad Pune, Pune","Finger Food, Cocktail Menu",₹3000 for two,4.3
FML - Food Music Love,pune,"Kalyani Nagar, Pune",Multicuisine,₹1900 for two,3.5
Ishaara,pune,"Phoenix Mall of the Millennium, Wakad",Modern Indian,₹1300 for two,4.8
Sorriso,pune,Marriott Suites Pune,"Continental, Italian",₹3500 for two,4.6
Filament Bar,pune,"Wakad, Pune",Multicuisine,₹1800 for two,4.4
Ek Punjab Dhaba,pune,"Pimple Saudagar, Pune",Multicuisine,₹1500 for two,5.0
Her Highness,pune,"Yerawada, Pune",Multicuisine,₹800 for two,4.6
Da Nonna's,pune,"Deccan Gymkhana, Pune",Italian,₹1200 for two,4.7
Trooh,pune,"Kalyani Nagar, Pune","Italian, North Indian, Thai Food",₹1500 for two,4.0
Sheri (Patio & Casa),pune,"Mundhwa, Pune",Multicuisine,₹1000 for two,4.4
Masakha - Seafood Resto & Bar,pune,"Narhe, Pune",Seafood,₹1300 for two,3.3
Casablanca The Lounge,pune,"Koregaon Park, Pune",Multicuisine,₹1800 for two,3.0
TGI Friday's,pune,"The Pavillion, Senapati Bapat Road",Multicuisine,₹2400 for two,4.3
Exotica,pune,"Yerawada, Pune",Multicuisine,₹2000 for two,4.1
We Idliwale,pune,"Viman Nagar, Pune",South Indian,₹600 for two,4.5
Saundarya Garden,pune,"Hinjawadi, Pune","Indian, Multicuisine",₹1000 for two,3.1
HAPAA - Asian Stir,pune,"Kalyani Nagar, Pune",Asian,₹1200 for two,4.4
Kava Cafe,pune,Fairfield by Marriott Pune Kharadi,Multicuisine,₹2200 for two,4.4
PizzaExpress,pune,"Phoenix Mall of the Millennium, Wakad","Pizza, Italian",₹1400 for two,4.8
Tettoricca,pune,"Pimpri-Chinchwad, Pune",Multicuisine,₹1600 for two,4.0
Salt Indian Restaurant Bar And Grill,pune,"Kalyani Nagar, Pune",Multicuisine,₹1500 for two,5.0
Loft On The Top,pune,"Kondhwa, Pune",Multicuisine,₹1800 for two,4.7
Gurdjieff's Restaurant & Bar,pune,"Koregaon Park, Pune","Multicuisine, Cocktail Menu",₹1000 for two,4.8
Annies Bar & Kitchen,pune,"Koregaon Park, Pune","Cocktail Menu, Finger Food",₹1500 for two,4.0
Palmoco,pune,"Koregaon Park, Pune","Cocktail Menu, Multicuisine",₹1300 for two,4.0
Kwality Family Resto Bar,pune,"Shivaji Nagar, Pune",Multicuisine,₹1500 for two,5.0
DaWholesum Resto-Cafe,pune,"Deccan Gymkhana, Pune",Continental,₹700 for two,4.0
Daily Treats,pune,"The Westin Pune Koregaon Park, Pune","Cafe, Bakery",₹1200 for two,4.1
MOH Bistro & Barrels,pune,"Mundhwa, Pune",Multicuisine,₹1500 for two,5.0
The Ruby Hilltop,pune,"Pashan, Pune","Cocktail Menu, Multicuisine",₹1400 for two,4.3
Open Window Cafe Bistro,pune,"Shivaji Nagar, Pune",Multicuisine,₹1300 for two,4.4
The Divine Cafe,pune,"Koregaon Park, Pune",Multicuisine,₹800 for two,4.5
Momentt - Enrise by Sayaji,pune,"Wakad, Pune",Multicuisine,₹800 for two,4.4
Matcha Brew & Bake,pune,"Koregaon Park, Pune","European, Mexican, Continental",₹800 for two,4.0
The Barkhana,pune,"Wakad, Pune","Pan Asian, Indian",₹1300 for two,4.4
Skye - Rooftop By Eternia,pune,"Senapati Bapat Road, Pune","Cocktail Menu, Multicuisine",₹2000 for two,4.2
Klinq - Cocktails & Cuisine,pune,"Viman Nagar, Pune",Multicuisine,₹1400 for two,3.9
Hakka Chow,pune,"Koregaon Park, Pune",Chinese,₹800 for two,4.0
Cafe 9's,pune,"Karve Nagar, Pune",Multicuisine,₹600 for two,4.0
Majlis Darbar,pune,"Camp Area, Pune",Multicuisine,₹1200 for two,4.0
Tuckd Away,pune,"Koregaon Park, Pune",Cafe,₹1000 for two,4.0
Tipplr,pune,"Deccan Gymkhana, Pune",Multicuisine,₹1200 for two,4.0
Blue Pepper,pune,The O Hotel Pune,Multicuisine,₹2500 for two,3.0
Fuzion,pune,Novotel Pune Nagar Road,Multicuisine,₹1800 for two,4.0
Coffee Island,pune,"Kondhwa, Pune","Coffee, European",₹1000 for two,5.0
Dobaraa,pune,"Viman Nagar, Pune",Multicuisine,₹1200 for two,4.2
ZENZI Restaurant,pune,"Dhole Patil Road, Pune",Indian,₹1000 for two,1.0
July7,pune,"Pimpri-Chinchwad, Pune",Multicuisine,₹1200 for two,4.8
Hippie@Heart,pune,"NIBM Road, Pune",Multicuisine,₹2000 for two,4.2
The Wise Guys- Sky Lounge & Pub,pune,"Wakad, Pune",Multicuisine,₹2000 for two,4.1
Ice N Fire SkyLounge,pune,"Baner, Pune","Cocktail Menu, Multicuisine",₹1400 for two,3.6
Mamagoto,pune,"The Pavillion, Senapati Bapat Road",Pan Asian,₹1500 for two,4.4
Saffron Restaurant,pune,"Kalyani Nagar, Pune",North Indian,₹1200 for two,4.5
Highland,pune,"Kalyani Nagar, Pune",Multicuisine,₹1400 for two,1.0
The Great Kabab Factory,pune,Radisson Blu Hotel Pune Kharadi,North Indian,₹4000 for two,4.0
Madras Tiffin Room,pune,"Koregaon Park, Pune",South Indian,₹800 for two,5.0
Rio Kitchen & Bar,pune,"Hinjawadi, Pune",Multicuisine,₹1500 for two,2.2
3 Spices,pune,DoubleTree by Hilton Hotel Pune Chinchwad,"All Day Dining, Multicuisine",₹1500 for two,4.0
Eight,pune,"Phoenix Mall of the Millennium, Wakad",Pan Asian,₹800 for two,4.4
Nagpal’s Chole Bhature,pune,"Nigdi, Pune",Fast Food,₹500 for two,5.0
The Bridge,pune,"Tarawade Clarks Inn, Pune",NA,₹1500 for two,4.6
Wok Toss,pune,"E-Square The Fern An Ecotel Hotel, Pune",Pan Asian,₹1500 for two,4.8
Shahji's Parantha House,pune,"Deccan Gymkhana, Pune",North Indian,₹800 for two,4.0
TQC- The Quarter company,pune,"Viman Nagar, Pune",Multicuisine,₹2300 for two,2.7
La Bali,pune,"Bavdhan, Pune",Multicuisine,₹1500 for two,4.7
Zaika Caterers & Restaurant,pune,"Dhanori, Pune",Mughlai,₹1000 for two,5.0
Cafe Zen Courtyard,pune,"Koregaon Park, Pune",Multicuisine,₹1000 for two,4.0
Bloom Café,pune,"Bloom Hotel - Koregaon Park,Pune",NA,₹1200 for two,4.0
Soussol,pune,"Koregaon Park, Pune",Multicuisine,₹800 for two,4.0
Big Table - The Veg Bar,pune,"Coronet The Boutique Hotel, Pune",Multicuisine,₹1200 for two,4.0
Asian Fusion,pune,Fariyas Resorts Lonavala,"Indian, oriental",₹2600 for two,4.8
Sasson - The Global Kitchen & Bar,pune,"Hadapsar, Pune",Pan Asian,₹1000 for two,4.5
Xero Degrees,pune,"Viman Nagar, Pune",Multicuisine,₹1100 for two,3.8
Nincasa,pune,"Mundhwa, Pune",Multicuisine,₹1500 for two,5.0
Cafe Co2 Resto Lounge,pune,"Bhugaon, Pune",Multicuisine,₹3000 for two,4.0
Backstage Lounge & Bar,pune,"Viman Nagar, Pune",Multicuisine,₹1000 for two,3.5
Zeeshan Restaurant- Apna Hyderabadi Food,pune,"Viman Nagar, Pune","Hyderabadi, Indian",₹900 for two,3.2
K Rocks Resort,pune,"Kasarsai dam, Pune, Pune",Multicuisine,₹1000 for two,4.0
Bacharika- Rooftop Bar & Kitchen,pune,"Kothrud, Pune",Multicuisine,₹1800 for two,4.1
Communion Cafe,pune,"Lohegaon, Pune",Continental,₹1200 for two,5.0
The Dragon Fly By Radisson Hinjewadi,pune,Radisson Blu Pune Hinjewadi,Pan Asian,₹2500 for two,4.0
I'm Lion,pune,"Baner, Pune",Seafood,₹1200 for two,4.0
Spice Culture Bar And Kitchen,pune,"Kondhwa, Pune",Multicuisine,₹1500 for two,4.0
Global Punjab,pune,"Kharadi, Pune",North Indian,₹1200 for two,4.6
Ocean Darbar,pune,"Viman Nagar, Pune",Seafood,₹1500 for two,5.0
Mikachi Club,pune,"Kharadi, Pune",Multicuisine,₹1900 for two,2.8
Zeeshan Restaurant - Apna Hyderabadi Food,pune,"Hinjawadi, Pune",Hyderabadi,₹900 for two,3.9
Foo KOPA,pune,"Koregaon Park, Pune","Chinese, Sushi, Asian",₹2000 for two,4.4
The Tenth Floor,pune,"Baner, Pune",Multicuisine,₹1500 for two,4.0
Yeti - The Himalayan Kitchen,pune,"Kalyani Nagar, Pune","Nepalese, Tibetan",₹1200 for two,4.1
Circle Of Crust,pune,"Baner, Pune",Pizza,₹500 for two,4.0
Wokkolitius,pune,"Bibwewadi , Pune","Chinese, Thai, Asian",₹800 for two,4.0
Good News Dhaba,pune,"Creaticity Mall, Yerawada",North Indian,₹1500 for two,4.1
360 Degree - The Revolving Fine Dine Restaurant,pune,"JM Road, Pune",Multicuisine,₹1400 for two,4.4
5ive By Radisson Hinjewadi,pune,Radisson Blu Pune Hinjewadi,Multicuisine,₹2000 for two,4.7
Brew Merchant,pune,"Baner, Pune",Multicuisine,₹800 for two,5.0
Eatery,pune,"Four Points by Sheraton, Pune","Multicuisine, All Day Dining",₹1200 for two,4.1
Spice It,pune,"IBIS pune hotel, Viman Nagar",Multicuisine,₹1500 for two,4.3
Backyard Palms,pune,"Ravet, Pune",Multicuisine,₹1200 for two,3.7
Swig S.B. Road,pune,"Shivaji Nagar, Pune",Fast Food,₹1200 for two,2.3
24 Carat Lounge & Bar,pune,"Bhugaon, Pune",Multicuisine,₹180 for two,4.0
After hrs.,pune,"Viman Nagar, Pune","Indian, European",₹1500 for two,4.0
Teera,pune,"Wakad, Pune",Multicuisine,₹1500 for two,3.9
C-Dock Lounge,pune,"Pimpri, Pune",Multicuisine,₹2000 for two,5.0
Talli Bar & Kitchen,pune,"Baner, Pune","Cocktail Menu, Multicuisine",₹1500 for two,4.0
Bao Story,pune,"Hinjawadi, Pune",Asian,₹1200 for two,4.0
Express Cafe,pune,Holiday Inn Express Pune Pimpri,Multicuisine,₹800 for two,5.0
Teddy's Kitchen And Bar,pune,"Pimpri, Pune",Multicuisine,₹1500 for two,3.0
Arthur's Theme,pune,"Koregaon Park, Pune",European,₹1500 for two,4.7
New Moshi Grrand,pune,"Bhosari, Pune",Multicuisine,₹1200 for two,4.2
Beer & Beans,pune,"NIBM Road, Pune",Continental,₹1400 for two,3.3
Cafe 88,pune,"Hyatt Pune, Kalyani Nagar","North Indian, Continental",₹2100 for two,4.3
Cafe Community,pune,"Kothrud, Pune","European, Italian",₹500 for two,5.0
Downtown Club,pune,"Hinjawadi, Pune",Multicuisine,₹2200 for two,2.0
Kyma,pune,"Ghorpadi, Pune","Mediterranean, Asian",₹1000 for two,4.7
Neighbourhud | All Day Bistro,pune,"Baner, Pune",Multicuisine,₹1500 for two,3.3
Kukoo - Bar,pune,"Kalyani Nagar, Pune",Multicuisine,₹1500 for two,3.3
Pop Tate's,pune,"Phoenix Market City, Viman Nagar",Multicuisine,₹2000 for two,4.5
Aafreen - Inspired Indian,pune,"The Westin Pune Koregaon Park, Pune",Indian,₹1600 for two,4.6
The Market,pune,"The Westin Pune Koregaon Park, Pune",Multicuisine,₹2800 for two,4.5
Kasba,pune,"Royal Orchid Golden Suits, Pune",Multicuisine,₹1200 for two,3.3
Toscano,pune,"Balewadi, Pune",Italian,₹1800 for two,4.0
Gong,pune,"Baner, Pune",Pan Asian,₹1200 for two,4.6
Si Nonna's - The Original Sourdough Pizza,pune,"Shivaji Nagar, Pune",Italian,₹1600 for two,4.7
Mekong Folks,pune,"Balewadi, Pune",Pan Asian,₹2500 for two,4.6
Sky Stories,pune,"Baner, Pune",Multicuisine,₹1150 for two,3.9
C-Dock,pune,"Pimpri, Pune",Multicuisine,₹1500 for two,5.0
Santorini Black,pune,Hilton Garden Inn Pune Hinjawadi,"Beverages, Indian, Fusion",₹1500 for two,5.0
Sreca Rooftop Lounge,pune,"Pimple Nilakh, Pune",Multicuisine,₹1300 for two,2.5
Satguru's Punjabi Rasoi,pune,"Destination Centre, Magarpatta",Multicuisine,₹1000 for two,5.0
White Spice,pune,"Regenta, SGS Greenotel, Lonavala",Multicuisine,₹1000 for two,3.6
Torre Gourmet Dining & Bar,pune,"Baner, Pune","Spanish, Italian",₹1500 for two,4.8
Koconut Tree Restaurant And Bar,pune,"Magarpatta, Pune",Seafood,₹1200 for two,4.7
Tea Villa Cafe,pune,"Wakad, Pune",Multicuisine,₹800 for two,4.7
Pergola De Pines,pune,"Kalyani Nagar, Pune",Multicuisine,₹1500 for two,4.1
Golden Birdwing,pune,"Cocoon Hotel, Pune",Multicuisine,₹1500 for two,4.5
Allora,pune,"Viman Nagar, Pune",Italian,₹1200 for two,4.5
Code The Speakeasy Bar,pune,"Kothrud, Pune","Cocktail Menu, Multicuisine",₹1200 for two,4.2
Vintage,pune,THE HHI PUNE,"Cocktail Menu, Finger Food",₹1000 for two,4.0
Poise,pune,"Hinjawadi, Pune",Multicuisine,₹1200 for two,4.0
AB's - Absolute Barbecues,pune,"Seasons Mall, Magarpatta","Barbeque, Multicuisine",₹1850 for two,4.5
Cherie,pune,"Wakad, Pune",Multicuisine,₹1400 for two,4.6
Coco Café By Cococart,pune,"Viman Nagar, Pune",Cafe,₹800 for two,5.0
Soy Como Soy,pune,"Koregaon Park, Pune",Multicuisine,₹2000 for two,5.0
Mafia Sky Lounge,pune,"Wadgaon Sheri, Pune",Multicuisine,₹2000 for two,4.2
